,name,station,date,artist,song,uri,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,loudness,index,spotify_artist,spotify_song,scraped_artist,scraped_song
2726,Captain & Tennille - Do That To Me One More Time,radiowien,2021-05-01 20:24:01.351064,Captain & Tennille , Do That To Me One More Time,spotify:track:0m4jVVZrsv0bLkAr1uM6UG,0.563,0.728,0.524,0.000131,0.0913,0.0255,90.262,0.51,-8.227,1436,Captain & Tennille,Do That To Me One More Time,,
2727,Carl Douglas - Kung Fu Fighting,radiowien,2021-04-21 14:27:02.242036,Carl Douglas , Kung Fu Fighting,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J,0.0422,0.598,0.673,6.84e-05,0.289,0.0693,102.035,0.59,-10.431,1442,Carl Douglas,Kung Fu Fighting,,
2728,Carl Douglas - Kung Fu Fighting,radiowien,2021-04-29 22:30:02.274806,Carl Douglas , Kung Fu Fighting,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J,0.0422,0.598,0.673,6.84e-05,0.289,0.0693,102.035,0.59,-10.431,1442,Carl Douglas,Kung Fu Fighting,,
2729,Carl Douglas - Kung Fu Fighting,radiowien,2021-04-29 22:30:02.274806,Carl Douglas , Kung Fu Fighting,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J,0.0422,0.598,0.673,6.84e-05,0.289,0.0693,102.035,0.59,-10.431,1442,Carl Douglas,Kung Fu Fighting,,
2730,Carole King - Hard Rock Cafe,radiowien,2021-04-19 16:54:02.664778,Carole King , Hard Rock Cafe,spotify:track:5oLObQcGpeEjrOHpPY80F5,0.11,0.653,0.754,0.000127,0.754,0.039,133.751,0.708,-8.179,1445,Carole King,Hard Rock Café,,
2731,Carole King - Hard Rock Cafe,radiowien,2021-04-27 17:27:02.353359,Carole King , Hard Rock Cafe,spotify:track:5oLObQcGpeEjrOHpPY80F5,0.11,0.653,0.754,0.000127,0.754,0.039,133.751,0.708,-8.179,1445,Carole King,Hard Rock Café,,
2732,Carole King - Hard Rock Cafe,radiowien,2021-04-27 17:27:02.353359,Carole King , Hard Rock Cafe,spotify:track:5oLObQcGpeEjrOHpPY80F5,0.11,0.653,0.754,0.000127,0.754,0.039,133.751,0.708,-8.179,1445,Carole King,Hard Rock Café,,
2733,Carole King - It's Too Late,radiowien,2021-04-19 22:54:01.868155,Carole King , It's Too Late,spotify:track:12q3V8ShACq2PSWINMc2rC,0.493,0.45,0.442,0.00564,0.134,0.0353,208.282,0.812,-12.718,1446,Carole King,It's Too Late,,
2734,Carole King - It's Too Late,radiowien,2021-04-28 19:48:02.365441,Carole King , It's Too Late,spotify:track:12q3V8ShACq2PSWINMc2rC,0.493,0.45,0.442,0.00564,0.134,0.0353,208.282,0.812,-12.718,1446,Carole King,It's Too Late,,
2735,Carole King - It's Too Late,radiowien,2021-04-28 19:48:02.365441,Carole King , It's Too Late,spotify:track:12q3V8ShACq2PSWINMc2rC,0.493,0.45,0.442,0.00564,0.134,0.0353,208.282,0.812,-12.718,1446,Carole King,It's Too Late,,
2736,Carole King - Will You Love Me Tomorrow?,radiowien,2021-04-20 19:54:02.350921,Carole King , Will You Love Me Tomorrow?,spotify:track:7qVd0TKcUDUdVaUogsGm4H,0.79,0.403,0.329,0.000384,0.102,0.0314,159.443,0.243,-12.847,1448,Carole King,Will You Love Me Tomorrow?,,
